"Timestamp","Please, select your college/department ","Please, specify your program","Which of the following best describes your current status?","How many years into your current program are you?","Do you receive UVM stipend?","Is your stipend...","On the scale of 1-5, where 1 is ""extremely dissatisfied"" and 5 is ""extremely satisfied"", how satisfied are you with your current UVM stipend? ","Do you pay comprehensive fees?","Do you own or rent the house where you currently live?","Do you have any dependants (a child, spouse, parent, or certain other relative to whom you contribute all or a major amount of necessary financial support)?","How much do you pay for rent/ mortgage monthly? Please specify the exact amount in $ that you personally pay. ","Do you pay..","On average, how much do you pay monthly for utilities? (Heat, Electricity, Internet) ","Do you have a budgeted savings per month?"," Please list your top 3 monthly expenses","Please list top 3 things on which you would like to spend more money monthly","Please provide any additional comments or observations"
"2019/02/08 3:29:59 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Community Development and Economic Development","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","4","Yes, full fee","Rent","No","$700","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, Groceries, Electric","Savings, Groceries, ""Fun"" ","Thanks for conducting this survey! "
"2019/02/08 3:30:10 PM EST","COLLEGE OF ARTS AND SCIENCES","Biology","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","5","Yes, full fee","Rent","No","700","Partial amount of the rent/ mortgage","$100-$150","No","Rent, car, groceries","",""
"2019/02/08 3:30:14 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Electrical Engineering","Doctoral student","Second year","No","","","No, my grant/program covers it","Rent","No","642","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, Food, supplies","Travel, entertainment, rent",""
"2019/02/08 3:30:21 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","CMB","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","2","Yes, full fee","Own","Yes","1200","Partial amount of the rent/ mortgage","Greater than $300","No","Mortgage","Utilities","Childcare"
"2019/02/08 3:30:23 PM EST","CROSS COLLEGE INTERDISCIPLINARY","CMb","Doctoral student","Third year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","Foster children, whom we will be adopting this year","1550.00","Full amount of the rent/ mortgage","$200-$300","No","Rent, food, heat","Savings, food, transportation",""
"2019/02/08 3:30:25 PM EST","COLLEGE OF ARTS AND SCIENCES","Biology","Doctoral student","Forth year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","750","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, Food, Bills (car insurance, phone, etc.)","Food, travel, Fun Activities",""
"2019/02/08 3:30:32 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Higher Education and Student Affairs (HESA)","Master's student","First year","Yes, Full (20h) GRA","Other","2","Yes, full fee","Rent","No","825","Partial amount of the rent/ mortgage","$50-$100","No","Rent, groceries, gas","Personal care/wellness, food, clothing","Note that full-time HESA students have practitioner-based 20hr assistantships at UVM or partner institutions that don’t fit the average GTA/GRA and a separate option for those would be helpful. We receive about $16,000/year and full tuition remission."
"2019/02/08 3:30:38 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","Fifth year","No","","","No, I am not required to pay the fees","Own","No","589","Full amount of the rent/ mortgage","$100-$150","Yes","retirement, mortgage, electricity","retirement, savings, nothing",""
"2019/02/08 3:30:44 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources, PhD","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","600","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, food, utilities","Food, travel, outdoor gear",""
"2019/02/08 3:30:47 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Field Naturalist Program","Master's student","First year","Yes, Full (20h) GTA","Other","3","Yes, full fee","Rent","No","675","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, medical","saving, food, recreation/social","My GTA is not for my entire program. My two year program includes 1 semester guaranteed full-time GTA and potential for another one or two."
"2019/02/08 3:31:05 PM EST","COLLEGE OF MEDICINE","Neuroscience","Doctoral student","Third year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","Yes","$700","Partial amount of the rent/ mortgage","Less than $50","Yes","Rent, groceries, car","Food, activities, better apartment (more money for rent)",""
"2019/02/08 3:31:10 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","PhD, Natural Resources","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","5","Yes, full fee","Own","No","630","Full amount of the rent/ mortgage","Less than $50","Yes","rent, food (groceries and going out), drinks","massages",""
"2019/02/08 3:31:18 PM EST","COLLEGE OF ARTS AND SCIENCES","Chemistry","Doctoral student","Forth year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, reduced fee (I am a continuous studies student)","Rent","No","635","Partial amount of the rent/ mortgage","$150-$200","No","Rent, car payment, utilities ","undergraduate loans, entertainment",""
"2019/02/08 3:31:37 PM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology","Doctoral student","","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","1200","Full amount of the rent/ mortgage","$100-$150","No","Rent, food, vehicle","Savings, loans, socializing",""
"2019/02/08 3:31:41 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Doctoral student","Third year","Yes, Full (20h) GRA","9-month stipend?","5","Yes, full fee","Rent","My spouses makes less than me but we could probably live off her wages because we are pretty frugal","$930","My spouse and I together pay $930 for 1 bedroom in a big cooperative house","$50-$100","No","Rent, Gas (in the winter), Beer","I'd prefer to reduce expenses and work less, not have more to spend really.",""
"2019/02/08 3:31:43 PM EST","COLLEGE OF ARTS AND SCIENCES","Geology","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","468","Partial amount of the rent/ mortgage","Less than $50","Yes","Rent, Grocceries, Dining","Savings","Comparing to peer in other institutions, it seems like we get significantly less AND often have a higher cost of living."
"2019/02/08 3:31:56 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Higher Education and Student Affairs (HESA)","Master's student","First year","Yes, Full (20h) GRA","9-month stipend?","2","Yes, full fee","Rent","No","$1680.00","Half","$50-$100","No","Rent, bills, food","Savings, necessities, travel","My position is just a GA - Graduate Assistant position
All HESA grads get Tuition remission which is an absolute bonus, but living the stipend barely supports living in Burlington."
"2019/02/08 3:32:31 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Master's student","Second year","Yes, Full (20h) GRA","Other","5","Yes, reduced fee (I am a continuous studies student)","Own","Yes","500","Partial amount of the rent/ mortgage","$100-$150","No","Mortgage, Car payment, Daycare","Student loan debt, retirement savings, savings for buying new house",""
"2019/02/08 3:32:34 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","cdae","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","4","Yes, full fee","Rent","No","630","Partial amount of the rent/ mortgage","$50-$100","No","rent, food, entertainment ","recreation ",""
"2019/02/08 3:32:40 PM EST","COLLEGE OF ARTS AND SCIENCES","CMB","Doctoral student","Fifth year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","No, my grant/program covers it","Rent","No","850.00","Partial amount of the rent/ mortgage","Less than $50","No","rent, bills, food","rent, food, pet",""
"2019/02/08 3:32:41 PM EST","COLLEGE OF MEDICINE","Public Health","Master's student","First year","No","","","Yes, full fee","Own","No","$1000","Full amount of the rent/ mortgage","$100-$150","Yes","Tuition, Housing, Health Insurance","Health & Wellness - exercise, healthy food, travel","There are no grants or scholarships available for my program and the tuition is very high considering this is a ""distance-based"" program."
"2019/02/08 3:32:51 PM EST","COLLEGE OF ARTS AND SCIENCES","General/Experimental Psychology","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","2","Yes, full fee","Rent","No","$745","Total is $1390/month, boyfriend pays half","$50-$100","Yes","Student loans, groceries, car payment ","Student loans, general savings, leisure","Rent in Burlington and the surrounding area is absurdly high, and while I am thankful for the stipend that I earn, I do not think it is a fair amount to cover the cost of living while trying to pay off student loans which many of us have"
"2019/02/08 3:34:02 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","4","No, my grant/program covers it","Rent","No","$700","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, food, gas","Dental, weather appropriate clothing, better food","Any contribution to dental coverage would be great"
"2019/02/08 3:34:24 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","graduate nursing, DNP","Doctoral student","Forth year","No","","","Yes, full fee","Rent","No","1350.00","Full amount of the rent/ mortgage","$50-$100","Yes","food, going out to dinner/drinks, clothing/other purchases","",""
"2019/02/08 3:34:32 PM EST","COLLEGE OF ARTS AND SCIENCES","","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","No, my grant/program covers it","Rent","No","$1125","Full amount of the rent/ mortgage","$100-$150","Yes","","Food",""
"2019/02/08 3:34:41 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","CMB","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Rent","No","623","Partial amount of the rent/ mortgage","$50-$100","No","Rent, bills, food","This question is confusing. Ideally I spend no addtional money monthly..","Many spelling errors in this survey and the last question is unclear."
"2019/02/08 3:35:04 PM EST","COLLEGE OF ARTS AND SCIENCES","Psychological Sciences - General/Experimental","Doctoral student","Forth year","Yes, Full (20h) GRA","9-month stipend?","1","Yes, full fee","Rent","No","1375","Full amount of the rent/ mortgage","$200-$300","No","Rent, bills, food","savings, paying back loans, healthier food","Literally do not provide us with a stipend that reflects something even close to the cost of living"
"2019/02/08 3:35:12 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","","Master's student","Second year","Yes, Part-time (10h)","12-month stipend?","4","Yes, full fee","Rent","No","720","Full amount of the rent/ mortgage","$50-$100","No","Rent, Loans, Living Expenses","Savings, Loans, Rent",""
"2019/02/08 3:35:14 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Physical Therapy ","Doctoral student","Second year","No","","","Yes, full fee","Rent","No","800","Full amount of the rent/ mortgage","$50-$100","No","Rent, food, bills","Rock climbing, skiing, eating out ",""
"2019/02/08 3:35:26 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Applied Math","Doctoral student","First year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","800","Partial amount of the rent/ mortgage","$150-$200","Yes","Rent, heat/electricity, food","Savings, food(eating out), fitness(yoga classes, skiiing, etc). ",""
"2019/02/08 3:35:54 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Higher Education and Student Affairs Administration","Master's student","Second year","Yes, Full (20h) GRA","9-month stipend?","4","Yes, full fee","Rent","No","560","Partial amount of the rent/ mortgage","$50-$100","No","Rent, car payment, food","Savings, student loans, debt","I pay 1/3 of total rent (I have two roommates) - not sure if that's what you mean by ""pay partial amount of the rent."" But I pay the full amount of my share."
"2019/02/08 3:37:28 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Social Work","Master's student","First year","No","","","Yes, full fee","Own","No","$516/month","Full amount of the rent/ mortgage","Less than $50","No","Gasoline (car), groceries, property tax","Groceries, gym, social events",""
"2019/02/08 3:37:31 PM EST","GROSSMAN SCHOOL OF BUSINESS","SI-MBA","Master's student","First year","No","","","Yes, full fee","Rent","No","1000","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, fuel","food, networking activities, social activities",""
"2019/02/08 3:37:49 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Civil and Environmental Engineering","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","5","Yes, full fee","Rent","No","$823","Full amount of the rent/ mortgage","$150-$200","No","Rent, Food, Utilities","",""
"2019/02/08 3:39:18 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Master's Natural Resources","Master's student","Second year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","3","Yes, full fee","Rent","No","800","Partial amount of the rent/ mortgage","Less than $50","No","Rent, groceries, utilities","Vacation/traveling, eating out, entertainment",""
"2019/02/08 3:39:20 PM EST","COLLEGE OF ARTS AND SCIENCES","English","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","4","No, my grant/program covers it","Rent","No","730","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Going out with friends","Savings, Food, Travel","It hasn't been a really tough squeeze, living off the stipend. But I'd definitely feel more comfortable and financially secure with a bit more $"
"2019/02/08 3:41:09 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Doctor of Nursing Practice","Doctoral student","First year","No","","","Yes, full fee","Rent","No","1000","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, groceries, gas","Groceries, airfare (to visit family out of state), supplies for school","When we begin the semester, my spending on books and supplies tops that of groceries."
"2019/02/08 3:41:31 PM EST","COLLEGE OF ARTS AND SCIENCES","Geology","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","$468","Partial amount of the rent/ mortgage","Less than $50","Yes","Food, rent, household goods","Restaurants, shopping, travel","My rent is low because my partner and I share a small bedroom in a 4 bedroom house, most people (including my roommates) spend much more on rent to live in the area"
"2019/02/08 3:41:44 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","First year","No","","","Yes, full fee","Rent","No","634.11","Partial amount of the rent/ mortgage","$50-$100","No","Groceries, gas, medical expenses","Household items, groceries, recreation",""
"2019/02/08 3:43:20 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","4","Yes, full fee","Rent","No","$1,275","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, utilities, food","Travel, restaurants, savings","I have two qualms about my stipend: (1) it is only for 3 years, and no one completes a PhD in 3 years. I wish RSENR would fund their PhDs for 4 years. (2) It does not cover the $1,000+ comprehensive grad fee, and I wish it did. Even though Burlington is pricey, I feel the stipends are sort of fair, but they would be VERY fair if those two changes were implemented."
"2019/02/08 3:44:22 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Electrical Engineering","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","1000","Full amount of the rent/ mortgage","$50-$100","No","","",""
"2019/02/08 3:44:27 PM EST","COLLEGE OF ARTS AND SCIENCES","Chemistry","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","1","Yes, reduced fee (I am a continuous studies student)","Rent","No","1100","Full amount of the rent/ mortgage","$150-$200","No","Food. Rent. Utilities.","Food. Savings. Personal.",""
"2019/02/08 3:45:01 PM EST","COLLEGE OF ARTS AND SCIENCES","Biology","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","750","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, utilities, food","Student loan payments ","Typically, I would say that the stipend is generous however, in Burlington, rent is expensive. I use bascially my whole pay check for rent. "
"2019/02/08 3:45:54 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","4","Yes, full fee","Own","No","1050","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, Food, Insurance","Food, Insurance, Gas","It's a bit tight but I get by alright."
"2019/02/08 3:46:37 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","Second year","Yes, Part-time (10h)","Other","2","Yes, full fee","Rent","No","975","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, groceries, student loan payments","Groceries, leisure activities and items",""
"2019/02/08 3:47:51 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","CDAE MS","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","3","Yes, full fee","Rent","No","930","Full amount of the rent/ mortgage","$100-$150","No","Rent, food, car","Leisure, food, medical","The program does not provide a living wage. Most students have outside work or take out loans to supplement the wage provided. It is also just above the income limit for getting food stamps, so food is a burden to purchase."
"2019/02/08 3:48:06 PM EST","COLLEGE OF MEDICINE","Pharmacology","Master's student","First year","No","","","Yes, reduced fee (I am a continuous studies student)","Rent","No","675","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, Food, internet ","Food, gas, furniture ","Rent is set to increase sharply in the coming lease renewals due to increased property taxes, my current rent will be raised 50 dollars a month. "
"2019/02/08 3:48:36 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","First year","Yes, Part-time (10h)","9-month stipend?","2","Yes, full fee","Rent","No","$690 per month ","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, utilities ","I would like to be able to save some amount of money every month, which I cannot currently do ","The stipend is great to cover my rent, but it is really difficult to pay for anything beyond that. It is not possible to just live off the GTA stipend "
"2019/02/08 3:48:58 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Doctoral student","Forth year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","4","Depends on the semester. Either 'yes, full fee' or 'no, grant/program covers it'","Rent","No","800","Partial amount of the rent/ mortgage","$100-$150","No","Rent/Utilities, Food, Undergraduate student loans","Money to lease/buy a car, additional money to help pay off undergraduate student loans, travel",""
"2019/02/08 3:49:19 PM EST","COLLEGE OF ARTS AND SCIENCES","Geology","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","770","Full amount of the rent/ mortgage","$50-$100","No","Rent, food, gas","food, extracurriculars, utilities",""
"2019/02/08 3:49:20 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Mathematics","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","708","Full amount of the rent/ mortgage","Less than $50","No","Food, Car maintenence/gas, Clothing (everything is always becoming a rag)","Food, clothing, buffer for car/emergencies",""
"2019/02/08 3:49:20 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","1","Yes, full fee","Rent","No","1150","Full amount of the rent/ mortgage","$150-$200","No","Natural gas, food, dog","Savings, new clothes, leisure activities","We are all poor. Burlington is expensive "
"2019/02/08 3:49:29 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Masters of Social Work","Master's student","First year","No","","","Yes, full fee","Rent","No","980","Full amount of the rent/ mortgage","$50-$100","No","Rent, food, utilities ","healthcare, clothes, skincare ",""
"2019/02/08 3:50:36 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Master of Science in CEE","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","650","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Food, Utilities","Food, Savings, Student loans",""
"2019/02/08 3:50:42 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Doctoral student","Second year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Rent","No","$975","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, Groceries, Vehicle-related (gas, repairs, etc)","Savings (I work a side job in order to contribute to my savings), Student Loans (I am currently in deferral, but I would prefer to be able to be paying them down), Better Groceries (Eating on a stipend is far from gourmet) ","UVM RSENR PhD stipends are not competitive with those of other top natural resource schools (e.g., Duke, Yale, Michigan), costs of living in Burlington are high relative to other similarly sized cities, and the expectation to allocate roughly $2000/year of an already small stipend to comprehensive fees is a considerable financial burden under these circumstances."
"2019/02/08 3:51:05 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","700","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent and utilities, car payment, groceries","Travel, food, being able to actually do things",""
"2019/02/08 3:51:17 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant Biology","Doctoral student","Fifth year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","550","Full amount of the rent/ mortgage","$100-$150","No","Food, entertainment, gas","Food, entertainment, clothing",""
"2019/02/08 3:51:26 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","1","Yes, full fee","Rent","No","1235","Partial amount of the rent/ mortgage","$200-$300","Yes","Rent, Food, Utilities","Furniture, Books, Food","College Station where Texas A&M is located has a cost of living 20% lower than that of Burligton, their minimum stipend is $17,000. How am I supposed to look UVM's offer?"
"2019/02/08 3:51:39 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant & Soil Science","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","No, I am not required to pay the fees","Rent","No","1050","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, food, gas","Dental bills, pet care, going out to eat",""
"2019/02/08 3:52:22 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Physical Therapy","Doctoral student","Second year","No","","","Yes, full fee","Rent","No","1,010.00","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Utilities","Food, warm clothing, traveling home",""
"2019/02/08 3:52:30 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Bioengineering","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","1","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","$100-$150","No","Rent, Travel, Grocery","Car, travel, Grocery","A major portion of the stipend goes into rent and basic utilities, which hardly leaves any money with which we can relax in our free time. This puts a lot of load  on all of us as we have to restrict ourselves on getting the regular necessary things. This load is surely reducing the working efficiency of individuals!   "
"2019/02/08 3:52:38 PM EST","COLLEGE OF ARTS AND SCIENCES","clinical psychology phd","Doctoral student","Forth year","Yes, Full (20h) GTA","9-month stipend?","2","Yes, full fee","Rent","No","1000","Partial amount of the rent/ mortgage","$150-$200","No","rent, food, utilities","savings, self-care, travel",""
"2019/02/08 3:52:53 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Mechanical Engineering","Master's student","Second year","No","","","Yes, full fee","Rent","No","720","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Gas","Food","There aren’t a top 3 things I want to spend more money on, that’s a weird question. I’d prefer to have less in tuition and less debt."
"2019/02/08 3:52:58 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science","Doctoral student","Forth year","No","","","Yes, full fee","Own","No","1000","Partial amount of the rent/ mortgage","$150-$200","No","Mortgage, Utility Bills, Tuition ","Quality food, Home investments, Savings","It has been very challenging to complete the final stretch of my PhD without a GRA or GTA. I work three part time jobs to cover the cost of living (with no dependents, either!), which is a burden to balance while completing a dissertation. "
"2019/02/08 3:53:01 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","bioengineering","Doctoral student","Second year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","$ 880","Full amount of the rent/ mortgage","$100-$150","No","Rent, Grocerries, Car loan","Outside activities, Dental Insurance, traveling","Renting a good place in a Burlington is so expensive that there is nothing left for your other expenses"
"2019/02/08 3:53:04 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Rent","No","900","Partial amount of the rent/ mortgage","$100-$150","No","Housing, food, gas","Living","stipend sucks"
"2019/02/08 3:54:06 PM EST","Other","Chemistry","Doctoral student","Third year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","$625","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Car Payment, Food","Eating out, experiences, travel",""
