University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
North Carolina State University (NCSU),forest biomaterials,20500,0.9,2020-2021,3rd,forest biomaterials
University of Maryland - College Park (UMD),Clinical Psychology,33400,1.1,2020-2021,2nd,psychology
University of Louisville (U of L),Anatomical Science and Neurobiology,25000,1.21,2020-2021,1st,biology
Case Western Reserve University,Biomedical Engineering,31000,1.55,2020-2021,1st,biomedical engineering
University of Southern California (USC),Communication,34000,1.31,2020-2021,3rd,communication
Stony Brook University - SUNY,Chemistry,29800,1.07,2020-2021,NA,chemistry
Ohio State University (OSU),Biomedical Sciences Graduate Program,29300,1.46,2020-2021,1st,biomedical sciences graduate program
Princeton University,East Asian Studies,35500,1.4,2020-2021,1st,east asian studies
University of Texas Health Science Center - San Antonio,Pharmacology/IBMS,30000,1.44,2020-2021,5th,pharmacycology/ibms
Duke University (DU),Neurobiology,32400,1.46,2022-2023,1st,biology
Rice University,Sociology,28388,1.3,2020-2021,NA,sociology
Syracuse University,psychology,15000,0.7,2021-2022,2nd,psychology
University of Chicago (UC),Computer Science,36000,1.48,2020-2021,4th,computer science
University of California - Berkeley,metabolic biology,38000,1.37,2020-2021,3rd,biology
University of Michigan - Ann Arbor (UM),Pharmaceutical Sciences,33000,1.43,2020-2021,4th,pharmacyceutical sciences
Johns Hopkins University (JHU),"Biochemistry, Cellular, and Molecular Biology",34222,1.33,2020-2021,4th,biology
Johns Hopkins University (JHU),"Biochemistry, Cellular, and Molecular Biology",32942,1.28,2018-2019,2nd,biology
University of Pennsylvania,Chemical and Biomolecular Engineering,35000,1.45,2020-2021,2nd,chemical and biomolecular engineering
Tennessee Technological University,Mechanical Engineering,17900,0.89,2019-2020,NA,mechanical engineering
University of Georgia (UGA),Plant pathology,22500,1.06,2020-2021,2nd,agriculture
University of Rochester (UR),Nursing,25000,1.17,2020-2021,3rd,nursing
University of Georgia (UGA),Human Development & Family Science,23293,1.1,2020-2021,1st,human development & family science
Northwestern University (NU),Music Theory,33379,1.38,2020-2021,2nd,music theory
Ohio University (OU),Civil Engineering,13275,0.63,2020-2021,2nd,civil engineering
University of California - Davis (UCD),Materials Science and Engineering,30000,1.25,2020-2021,2nd,materials science and engineering
University of Georgia (UGA),Marine Sciences,26000,1.23,2020-2021,NA,marine sciences
University of Georgia (UGA),Marine Sciences,22699,1.07,2020-2021,NA,marine sciences
Clemson University (CU),Plant and Environmental Science,20000,0.96,2020-2021,1st,agriculture
University of Georgia (UGA),Pharmaceutical & Biomedical Sciences,26000,1.23,2020-2021,2nd,pharmacyceutical & biomedical sciences
Kent State University (KSU),Biological Sciences,24000,1.21,2020-2021,4th,biological sciences
University of Alabama (UA),NA,21800,1.04,2020-2021,1st,NA
University of Wisconsin - Madison (UW),Pharmacology,29000,1.27,2020-2021,1st,pharmacycology
Ohio State University (OSU),Microbiology,29820,1.49,2020-2021,1st,biology
Harvard University (HU),Organismic and Evolutionary Biology,40607,1.42,2020-2021,3rd,biology
University of Southern California (USC),Translational and pharmaceutical sciences,37300,1.44,2020-2021,5th,pharmacyceutical sciences
Northwestern University (NU),History,33504,1.38,2020-2021,1st,history
University of Kansas (KU),chemistry,24000,1.17,2020-2021,NA,chemistry
North Carolina State University (NCSU),Biomedical Engineering,30000,1.31,2020-2021,2nd,biomedical engineering
University of Michigan - Ann Arbor (UM),Materials Science & Engineering,33000,1.43,2020-2021,2nd,materials science & engineering
University of California - Berkeley,Plant and Microbial Biology,41950,1.51,2020-2021,1st,biology
Temple University (TU),HRM,28800,1.19,2020-2021,2nd,hrm
University of Maine,Ecology and environmental sciences,22675,1.06,2021-2022,NA,ecology and environmental sciences
University of Minnesota - Twin Cities (UM),English,18963,0.83,2020-2021,1st,english
Brigham Young University (BYU),Microbiology and Molecular Biology,22500,1.09,2020-2021,1st,biology
Rice University,Chemical and Biomolecular Engineering,30388,1.39,2020-2021,1st,chemical and biomolecular engineering
Virginia Tech,Biosystems Engineering,25300,1.2,2020-2021,1st,biosystems engineering
Tulane University (TU),Tropical Medicine,24000,1.04,2019-2020,3rd,tropical medicine
University at Buffalo - SUNY,CDSE,19574,0.93,2020-2021,2nd,cdse
University of Delaware (UD),Mechanical Engineering,27600,1.09,2020-2021,1st,mechanical engineering
Columbia University (CU),Neurobiology & Behavior,41928,1.41,2020-2021,6th and up,biology
University of Colorado - Boulder (UCB),Environmental Engineering,31140,1.22,2020-2021,3rd,environmental engineering
Purdue University - West Lafayette,Materials Engineering,26527,1.25,2020-2021,1st,materials engineering
University of Oregon (UO),Geography,20269,0.97,2020-2021,NA,geoscience
University of California - Irvine (UCI),Medical Scientist Training Program,33000,1.13,2020-2021,3rd,medical scientist training program
University of Missouri (MU),Electrical Engineering & Computer Science,23150,1.13,2020-2021,1st,computer science
University of Rochester (UR),Chemistry,27410,1.28,2020-2021,5th,chemistry
University of Wisconsin - Madison (UW),Genetics,28232,1.24,2020-2021,3rd,biology
University of Central Florida (UCF),Civil Engineering,16867,0.73,2019-2020,3rd,civil engineering
University of North Carolina - Chapel Hill (UNC),Biological and Biomedical Sciences,32500,1.46,2020-2021,1st,biological and biomedical sciences
Rutgers the State University of New Jersey - New Brunswick,Department of Marine and Coastal Sciences,32204,1.25,2020-2021,1st,department of marine and coastal sciences
Massachusetts Institute of Technology (MIT),Brain and Cognitive Science,41368,1.48,2020-2021,2nd,brain and cognitive science
University of Colorado - Denver (UCD),Molecular Biology,31000,1.38,2020-2021,2nd,biology
University of Southern California (USC),Philosophy,30950,1.2,2020-2021,5th,philosophy
Southern Methodist University (SMU),Religious Studies,23400,1.08,2020-2021,3rd,religious studies
Duke University (DU),Theology / ThD,32000,1.44,2020-2021,1st,theology / thd
University of Georgia (UGA),ag econ,14500,0.69,2020-2021,2nd,ag econ
Stony Brook University - SUNY,Chemistry,28600,1.02,2020-2021,1st,chemistry
University of Michigan - Ann Arbor (UM),Psychology,28530,1.24,2020-2021,NA,psychology
Duke University (DU),Mathematics,24300,1.09,2020-2021,1st,mathematics
University of California - San Diego (UCSD),Psychology,23000,0.87,2021-2022,1st,psychology
Emory University,Psychology,33677,1.45,2020-2021,1st,psychology
University of Hawaii - Manoa (UH),Oceanography,34098,1.12,2020-2021,3rd,oceanography
University of Nebraska - Lincoln (NU),Agricultural Economics,17600,0.9,2020-2021,2nd,agriculture
Vanderbilt University,Electrical Engineering,30000,1.31,2020-2021,1st,electrical engineering
University of Colorado - Denver (UCD),Pharmacology,31000,1.38,2020-2021,1st,pharmacycology
Northwestern University (NU),Interdisciplinary Biological Sciences,31250,1.29,2020-2021,2nd,interdisciplinary biological sciences
Oregon State University (OSU),Chemistry,27120,1.3,2020-2021,1st,chemistry
Arizona State University (ASU),Biological Design,25000,1.13,2020-2021,1st,biological design
University of California - Davis (UCD),chemistry,29250,1.22,2019-2020,1st,chemistry
North Carolina State University (NCSU),"Food, Bioprocessing and Nutrition Sciences",19750,0.87,2020-2021,1st,"food, bioprocessing and nutrition sciences"
University of Minnesota - Twin Cities (UM),political science,20000,0.87,2020-2021,1st,political science
Clark University,physics,17900,0.79,2020-2021,NA,physics
Johns Hopkins University (JHU),Epidemiology,25000,0.97,2020-2021,1st,epidemiology
Louisiana State University - Baton Rouge,Biology,15500,0.71,2020-2021,3rd,biology
Indiana University- Purdue University - Indianapolis (IUPUI),Biostatistics,26000,1.26,2020-2021,1st,biostatistics
University of South Florida (UCF),Medical Sciences,28500,1.3,2020-2021,2nd,medical sciences
Purdue University - West Lafayette,Chemical Engineering,30140,1.42,2020-2021,1st,chemical engineering
Iowa State University (ISU),Civil engineering,24604,1.16,2020-2021,1st,civil engineering
Johns Hopkins University (JHU),Philosophy,29000,1.13,2020-2021,NA,philosophy
Massachusetts Institute of Technology (MIT),Biology,40416,1.45,2020-2021,1st,biology
University of Maryland - College Park (UMD),Mechanical Engineering,29100,0.96,2020-2021,1st,mechanical engineering
Massachusetts Institute of Technology (MIT),Linguistics,40536,1.45,2020-2021,4th,linguistics
University of California - Berkeley,Bioengineering,41200,1.48,2020-2021,2nd,bioengineering
University of Iowa (UI),Genetics,30500,1.37,2020-2021,NA,biology
Michigan Technological University (MTU),Humanities,16674,0.82,2020-2021,1st,humanities
Oregon State University (OSU),Food Science,25224,1.21,2020-2021,3rd,food science
Princeton University,Sociology,35000,1.38,2020-2021,1st,sociology
University of Southern California (USC),PIBBS,36000,1.39,2020-2021,NA,pibbs
Syracuse University,Business,32000,1.5,2020-2021,1st,business
University of California - Irvine (UCI),Business,30500,1.04,2020-2021,1st,business
Harvard University (HU),Physics,39000,1.36,2020-2021,2nd,physics
Georgia State University (GSU),information system,26000,1.12,2020-2021,1st,information system
University of Illinois - Urbana- Champaign (UIUC),Chemistry,27731,1.26,2020-2021,1st,chemistry
Purdue University - West Lafayette,Chemistry,24553,1.16,2020-2021,1st,chemistry
University of Arizona (U of A),Chemistry,26500,1.28,2020-2021,1st,chemistry
University of Minnesota - Twin Cities (UM),Chemistry,30380,1.33,2020-2021,1st,chemistry
Southern Illinois University - Carbondale (SIUC),Chemistry,20592,1.03,2020-2021,NA,chemistry
Emory University,Economics,31000,1.33,2020-2021,NA,economics
University of California - San Diego (UCSD),Psychology,32000,1.21,2020-2021,1st,psychology
California Institute of Technology (Caltech),Mechanical Engineering,36000,1.39,2019-2020,1st,mechanical engineering
University of Florida (UF),Entomology,18000,0.79,2019-2020,1st,entomology
Columbia University (CU),Communications,34602,1.16,2020-2021,1st,communication
University of South Florida (UCF),Chemistry,20200,0.92,2020-2021,4th,chemistry
Harvard University (HU),Astronomy,41916,1.46,2020-2021,1st,astronomy
New York University (NYU),Sociology,39500,1.33,2020-2021,1st,sociology
University of California - San Diego (UCSD),Department of Chemistry and Biochemistry,31000,1.17,2020-2021,1st,chemistry
North Carolina State University (NCSU),Computer Science,31429,1.38,2019-2020,4th,computer science
Virginia Commonwealth University (VCU),Pharmaceutical Engineering and Sciences,29000,1.17,2020-2021,1st,pharmacyceutical engineering and sciences
Georgia Institute of Technology (Georgia Tech),Chemistry,24800,1.06,2020-2021,NA,chemistry
Vanderbilt University,Biomedical Engineering,30000,1.31,2020-2021,1st,biomedical engineering
University of Wisconsin - Madison (UW),Cellular and Molecular Biology,28111,1.23,2020-2021,5th,biology
Purdue University - West Lafayette,School of Mechanical Engineering,23600,1.12,2020-2021,1st,school of mechanical engineering
University of Pennsylvania,Biostatistics,34000,1.41,2020-2021,1st,biostatistics
Washington University in St. Louis (Wash U),East Asian Languages and Cultures,26831,1.3,2020-2021,6th and up,east asian languages and cultures
Tennessee State University (TSU),Agriculture/Biology,14724,0.64,2020-2021,4th,biology
University of Florida (UF),Entomology and Nematology,17000,0.75,2018-2019,1st,entomology and nematology
Cornell University (CU),Entomology,37000,1.53,2020-2021,1st,entomology
Purdue University - West Lafayette,Agricultural Sciences Education and Communication,17600,0.83,2020-2021,1st,communication
University of Texas - Austin (UT),Psychology,29000,1.27,2020-2021,1st,psychology
New York University (NYU),Finance,35000,1.18,2020-2021,1st,finance
Montana State University (MSU),NA,24000,1.15,2020-2021,NA,NA
Northwestern University (NU),NA,36000,1.48,2020-2021,NA,NA
University of Michigan - Ann Arbor (UM),LSA Political Science,32487,1.41,2019-2020,2nd,lsa political science
Purdue University - West Lafayette,Material Science,25157,1.19,2020-2021,1st,material science
University of California - San Diego (UCSD),Chemistry,31000,1.17,2020-2021,1st,chemistry
University of Chicago (UC),pubic policy,33000,1.36,2020-2021,1st,pubic policy
Columbia University (CU),Psychology,39840,1.34,2020-2021,4th,psychology
University of Alaska - Fairbanks (UAF),Geoscience,25000,1.04,2020-2021,1st,geoscience
University of Notre Dame (ND),Mathematics,31057,1.52,2020-2021,1st,mathematics
CUNY Graduate School and University Center,Psychology,26612,0.89,2020-2021,3rd,psychology
University of North Carolina - Chapel Hill (UNC),Speech and Hearing Sciences,19000,0.85,2020-2021,1st,speech and hearing sciences
Northwestern University (NU),Nuin,33104,1.36,2020-2021,2nd,nuin
University of South Florida (UCF),Mechanical Engineering,24319,1.11,2019-2020,6th and up,mechanical engineering
Yale University (YU),Comparative Literature,36200,1.46,2020-2021,1st,comparative literature
University of Georgia (UGA),Marine Sciences,27000,1.28,2019-2020,2nd,marine sciences
University of California - Irvine (UCI),"Mathematical, Computational, and Systems Biology",32000,1.09,2020-2021,5th,biology
University of Michigan - Ann Arbor (UM),Human Genetics,32000,1.39,2020-2021,4th,biology
California Institute of Technology (Caltech),Planetary Science,36500,1.41,2020-2021,2nd,planetary science
Washington University in St. Louis (Wash U),Political Science,26831,1.3,2020-2021,1st,political science
University of Virginia (UVA),ECE,26000,1.14,2020-2021,1st,ece
University of Wisconsin - Madison (UW),NA,27333,1.2,2020-2021,NA,NA
Wright State University (WSU),BMS,21157,1.07,2020-2021,1st,bms
Washington University in St. Louis (Wash U),Imaging Science in Engineering,31000,1.5,2020-2021,1st,imaging science in engineering
Yale University (YU),Classics,32700,1.32,2020-2021,1st,classics
Tufts University (TU),Molecular Microbiology,35250,1.26,2020-2021,2nd,biology
Massachusetts Institute of Technology (MIT),Chemical Engineering,43380,1.55,2020-2021,3rd,chemical engineering
University of California - Berkeley,Psychology,29000,1.04,2020-2021,1st,psychology
Duke University (DU),Biomedical Engineering,27700,1.25,2019-2020,4th,biomedical engineering
University of Wisconsin - Madison (UW),Computer Science,27000,1.18,2020-2021,2nd,computer science
University of Texas - Dallas (UTD),Psychological Sciences,18600,0.86,2017-2018,5th,psychology
Cornell University (CU),Microbiology,34958,1.44,2020-2021,3rd,biology
University of Alabama - Birmingham (UAB),GBS,31000,1.44,2020-2021,5th,gbs
University of Virginia (UVA),Economics,22500,0.99,2019-2020,1st,economics
University of California - San Diego (UCSD),Language and Communicative Disorders,23000,0.87,2019-2020,1st,language and communicative disorders
University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,28400,1.24,2020-2021,4th,biology
Columbia University (CU),Counseling Psychology,24766,0.83,2020-2021,1st,psychology
University of California - Berkeley,Chemistry,36000,1.3,2017-2018,1st,chemistry
Case Western Reserve University,BSTP,30000,1.5,2019-2020,1st,bstp
University of Pennsylvania,Biochemistry and Molecular Biology,34000,1.41,2020-2021,2nd,biology
Harvard University (HU),Systems Biology,40500,1.41,2020-2021,2nd,biology
University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,25600,1.21,2019-2020,1st,pharmacyceutical and biomedical sciences
Cornell University (CU),Biophysics,36900,1.52,2020-2021,2nd,physics
Emory University,Cancer Biology,31000,1.33,2019-2020,1st,biology
University of Hawaii - Manoa (UH),Earth Sciences,31200,1.02,2018-2019,4th,geoscience
University of Virginia (UVA),NA,24000,1.05,2019-2020,2nd,NA
Brandeis University,Neuroscience,35000,1.25,2020-2021,1st,neuro
Northwestern University (NU),Anthropology,29780,1.23,2020-2021,4th,anthropology
Virginia Commonwealth University (VCU),Biomedical Engineering,27000,1.09,2020-2021,5th,biomedical engineering
University of Nebraska - Lincoln (NU),Communication Studies,15800,0.81,2019-2020,4th,communication
University of Kansas (KU),CS/PhD,19000,0.93,2020-2021,2nd,cs/phd
Duke University (DU),Computational Biology and Biology,32000,1.44,2020-2021,3rd,biology
University of Southern California (USC),Biology,35000,1.35,2020-2021,3rd,biology
Harvard University (HU),Engineering,36000,1.26,2020-2021,1st,engineering
Georgia Institute of Technology (Georgia Tech),BME,28700,1.23,2020-2021,3rd,bme
Tennessee State University (TSU),Biology,15000,0.65,2020-2021,4th,biology
Florida Atlantic University (FAU),Integrative Biology,23000,0.96,2020-2021,3rd,biology
San Diego State University (SDSU),Computational Science,25000,0.94,2020-2021,1st,computational science
University of Louisville (U of L),College of Education and Human Development,24000,1.16,2020-2021,1st,college of education and human development
University of Missouri (MU),Accounting,25900,1.26,2020-2021,1st,accounting
Ohio State University (OSU),Neuroscience,27600,1.38,2017-2018,6th and up,neuro
University of California - Riverside (UCR),Electrical and Computer Engineering,25000,1.04,2019-2020,NA,computer science
Columbia University (CU),NA,41520,1.4,2020-2021,1st,NA
Columbia University (CU),Graduate School of Arts and Sciences,41000,1.38,2020-2021,1st,graduate school of arts and sciences
Massachusetts Institute of Technology (MIT),Mechanical,36984,1.32,2020-2021,1st,mechanical
Vanderbilt University,English,26000,1.13,2020-2021,3rd,english
Wayne State University,Pharmaceutical Sciences,25000,1.2,2020-2021,NA,pharmacyceutical sciences
University of Illinois - Chicago (UIC),Chemistry,26400,1.09,2020-2021,4th,chemistry
Uniformed Services University of the Health Sciences,Clinical Psychology,33790,1.12,2020-2021,2nd,psychology
University of Southern California (USC),Neurobiology,33520,1.3,2020-2021,4th,biology
Scripps Research Institute (SRI),Chemistry,31000,1.17,2019-2020,5th,chemistry
The Catholic University of America,Physics,26750,0.87,2020-2021,4th,physics
West Virginia University (WVU),Physics,21750,0.97,2020-2021,1st,physics
Pennsylvania State University (Penn State),Sociology,20000,0.89,2016-2017,1st,sociology
Pennsylvania State University (Penn State),Chemical engineering,35310,1.57,2020-2021,1st,chemical engineering
Rutgers the State University of New Jersey - New Brunswick,NA,32000,1.24,2020-2021,4th,NA
University of Connecticut (UConn),NA,35700,1.47,2020-2021,1st,NA
Pennsylvania State University (Penn State),Biomedical Sciences,30500,1.36,2020-2021,3rd,biomedical sciences
University of Houston (UH),Chemical Engineering,30000,1.37,2020-2021,1st,chemical engineering
Stanford University (SU),Civil and Environmental Engineering,43228,1.5,2019-2020,3rd,civil and environmental engineering
University of Michigan - Ann Arbor (UM),Neuroscience,32739,1.42,2020-2021,2nd,neuro
University of Arkansas - Little Rock (UALR),Computer Science,18000,0.86,2020-2021,1st,computer science
Pennsylvania State University (Penn State),English,30000,1.34,2020-2021,1st,english
Pennsylvania State University (Penn State),Chemical Engineering,32300,1.44,2020-2021,1st,chemical engineering
University of California - San Diego (UCSD),Computer Science,32000,1.21,2020-2021,1st,computer science
Massachusetts Institute of Technology (MIT),Physics,41156,1.47,2020-2021,2nd,physics
Harvard University (HU),Applied Physics,38916,1.36,2020-2021,1st,physics
University of Texas Health Science Center - San Antonio,IBMS,30000,1.44,2020-2021,1st,ibms
Stanford University (SU),Chemistry,45000,1.57,2020-2021,NA,chemistry
Princeton University,"Department of Music, Musicology",34250,1.35,2020-2021,1st,"department of music, musicology"
Indiana University,Earth and atmospheric science,20200,0.94,2020-2021,1st,geoscience
Johns Hopkins University (JHU),Earth and Planetary Science,33333,1.3,2019-2020,1st,geoscience
Princeton University,Molecular Biology,35036,1.38,2020-2021,1st,biology
Virginia Commonwealth University (VCU),Biomedical Sciences Doctoral Portal,30000,1.21,2020-2021,1st,biomedical sciences doctoral portal
Harvard University (HU),Biological Sciences in Public Health,40560,1.42,2020-2021,1st,health
Carnegie Mellon University (CMU),Materials Science and Engineering,28050,1.36,2020-2021,1st,materials science and engineering
University of South Carolina (USC),Chemistry and Biochemistry,25000,1.11,2020-2021,1st,chemistry
University of Delaware (UD),Materials Science and Engineering,26750,1.05,2020-2021,3rd,materials science and engineering
University of Virginia (UVA),Economics,24000,1.05,2020-2021,1st,economics
University of California - San Francisco (UCSF),biomedical sciences,41200,1.38,2020-2021,1st,biomedical sciences
Virginia Tech,Aerospace Engineering,24000,1.14,2020-2021,1st,aerospace
University of Hawaii - Manoa (UH),Astronomy,32100,1.05,2020-2021,5th,astronomy
Georgia Institute of Technology (Georgia Tech),Chemical Engineering,27080,1.16,2020-2021,1st,chemical engineering
Pennsylvania State University (Penn State),Plant pathology,27900,1.24,2020-2021,1st,agriculture
University of Illinois - Chicago (UIC),GEMS,31620,1.3,2020-2021,1st,gems
Vanderbilt University,Mechanical Engineering,30000,1.31,2020-2021,3rd,mechanical engineering
Vanderbilt University,Biological Science,32000,1.39,2020-2021,1st,biological science
University of Chicago (UC),Computer Science,36000,1.48,2020-2021,NA,computer science
University of Nevada - Reno (UNR),NRES,22200,1.06,2020-2021,1st,nres
University of Maryland - Baltimore (UMB),Pharmaceutical Health Services Research (PHSR),25000,0.97,2020-2021,2nd,health
University of Utah,bioscience,29130,1.31,2020-2021,1st,bioscience
University of Georgia (UGA),Education,24000,1.13,2020-2021,1st,education
University of Tennessee Health Science Center,Biomedical Sciences,28000,1.25,2020-2021,1st,biomedical sciences
Virginia Commonwealth University (VCU),Medicinal Chemistry Department,27418,1.1,2020-2021,3rd,chemistry
University of Texas - Austin (UT),Physics,28654,1.26,2020-2021,1st,physics
University of Alabama - Huntsville (UAH),Electrical And Computer Engineering,14867,0.7,2019-2020,1st,computer science
Wright State University (WSU),Biomedical Science,19175,0.97,2020-2021,2nd,biomedical science
Stanford University (SU),Theater and Performance Studies,36300,1.26,2020-2021,1st,theater and performance studies
Southern Methodist University (SMU),Engineering,24000,1.11,2020-2021,1st,engineering
Georgia Institute of Technology (Georgia Tech),Machine Learning PhD Program (Home Dept: ECE),25400,1.09,2020-2021,4th,machine learning phd program (home dept: ece)
Johns Hopkins University (JHU),Medicine,34223,1.33,2020-2021,1st,medicine
Old Dominion University (ODU),Computer Science,16700,0.63,2018-2019,1st,computer science
University of Minnesota - Twin Cities (UM),Applied Plant Sciences,29366,1.28,2020-2021,3rd,agriculture
Colorado State University (CSU),Chemistry,24200,1.08,2020-2021,2nd,chemistry
Baylor College of Medicine,biotechnology,30000,1.37,2020-2021,NA,biotechnology
Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,23900,1.03,2020-2021,2nd,aerospace
Kansas State University (K-State),Civil Engineering,24000,1.09,2020-2021,NA,civil engineering
Vanderbilt University,Chemical & Physical Biology,32100,1.4,2020-2021,5th,biology
University of Southern California (USC),physics,32000,1.24,2020-2021,1st,physics
University of Vermont (UVM),Neuroscience,28975,1.11,2020-2021,1st,neuro
Indiana University,Sociology,21500,1,2020-2021,1st,sociology
University of Virginia (UVA),Psychology,24000,1.05,2019-2020,1st,psychology
University of Virginia (UVA),Psychology,24000,1.05,2020-2021,3rd,psychology
University of Virginia (UVA),Psychology,24000,1.05,2020-2021,1st,psychology
Yale University (YU),Religion,32700,1.32,2020-2021,1st,religion
Iowa State University (ISU),Physics,24100,1.14,2018-2019,3rd,physics
University of Pennsylvania,Bioengineering,34500,1.43,2020-2021,1st,bioengineering
Northwestern University (NU),Mechanical Engineering,32425,1.34,2020-2021,1st,mechanical engineering
